,Long position,Short position,Gross risk,Net risk,Daily performance,YTD performance,Vol,Sharpe Ratio
4月8日2021年,72%,-18%,90%,54%,-372.47%,2955907.62%,790646%,3.7
4月9日2021年,59%,-31%,90%,28%,-179.50%,2955728.12%,790649%,3.7
4月12日2021年,11%,-86%,97%,-75%,-250.60%,2955477.52%,790657%,3.7
4月13日2021年,48%,-52%,100%,-4%,-192.06%,2955285.47%,790658%,3.7
4月14日2021年,31%,-60%,91%,-29%,-155.46%,2955130.00%,790632%,3.7
4月15日2021年,38%,-58%,95%,-20%,-271.51%,2954858.49%,790636%,3.7
4月16日2021年,10%,-81%,91%,-71%,-125.88%,2954732.62%,790644%,3.7
4月19日2021年,83%,-9%,91%,74%,-436.82%,2954295.79%,790651%,3.7
4月20日2021年,64%,-29%,93%,35%,-47.58%,2954248.22%,100%,"29,659.9"
4月21日2021年,67%,-28%,96%,39%,132.58%,2954380.80%,136%,"21,684.5"
4月22日2021年,63%,-33%,96%,30%,-86.08%,2954294.72%,138%,"21,455.8"
4月23日2021年,31%,-63%,94%,-32%,475.91%,2954770.62%,222%,"13,282.9"
4月26日2021年,51%,-42%,93%,9%,-120.53%,2954650.09%,222%,"13,322.0"
4月27日2021年,32%,-53%,85%,-20%,-603.71%,2954046.38%,256%,"11,542.2"
4月28日2021年,67%,-24%,91%,43%,-128.97%,2953917.41%,249%,"11,886.2"
4月29日2021年,38%,-62%,100%,-25%,-431.04%,2953486.37%,260%,"11,349.0"
4月30日2021年,53%,-33%,87%,20%,-172.75%,2953313.62%,259%,"11,403.3"
5月3日2021年,67%,-26%,93%,40%,-226.28%,2953087.34%,260%,"11,378.6"
5月4日2021年,22%,-61%,83%,-39%,-201.78%,2952885.56%,260%,"11,365.8"
5月5日2021年,49%,-47%,97%,2%,-227.57%,2952657.98%,259%,"11,417.0"
5月6日2021年,67%,-21%,89%,46%,-147.89%,2952510.09%,258%,"11,422.5"
5月7日2021年,23%,-68%,91%,-45%,-319.12%,2952190.97%,251%,"11,783.6"
5月10日2021年,29%,-61%,90%,-32%,-191.82%,2951999.15%,249%,"11,858.1"
5月11日2021年,46%,-53%,99%,-7%,-182.69%,2951816.45%,234%,"12,603.8"
5月12日2021年,33%,-59%,92%,-27%,-175.75%,2951640.70%,233%,"12,691.8"
5月13日2021年,76%,-10%,86%,66%,-216.84%,2951423.86%,132%,"22,349.5"
5月14日2021年,23%,-69%,92%,-46%,-161.49%,2951262.37%,130%,"22,761.3"
