Start Date,1/1/00,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,USDKRW Curncy,,,,,,USDJPY Curncy,,,,,,USDCNY Curncy,,,,,,USDEUR Curncy,,,,,
,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day
Dates,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D
1月31日2000年,1124.93,#N/A N/A,44.49,41.24,44.2,40.61,107.32,#N/A N/A,64.01,57,67.34,79.72,8.2777,#N/A N/A,27.2322,40.2751,20.9157,8.0429,1.0302,#N/A N/A,76.843,68.3931,84.7965,97.4975
2月1日2000年,1126.93,#N/A N/A,46.27,42.12,47.44,62.01,107.85,#N/A N/A,66.24,58.31,70.39,85.08,8.2774,#N/A N/A,24.6618,38.2318,18.1823,5.3376,1.0298,#N/A N/A,76.4123,68.2069,84.078,94.9865
2月2日2000年,1130.5,#N/A N/A,49.4,43.67,52.93,80.66,108.16,#N/A N/A,67.5,59.07,72.1,87.89,8.2773,#N/A N/A,23.8535,37.5745,17.3328,4.5691,1.0241,#N/A N/A,70.3602,65.5748,74.0239,61.2615
2月3日2000年,1130,#N/A N/A,48.97,43.5,52.07,73.12,107.56,#N/A N/A,62.6,57,64.04,56.83,8.2781,#N/A N/A,40.6196,45.3506,41.8029,65.0132,1.0107,#N/A N/A,58.6081,59.9488,56.2381,27.2029
2月4日2000年,1129.5,#N/A N/A,48.52,43.32,51.14,64.13,107.19,#N/A N/A,59.73,55.76,59.42,42.83,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0171,#N/A N/A,61.8827,61.5775,61.2418,47.9387
2月7日2000年,1129.2,#N/A N/A,48.23,43.22,50.53,57.73,108.62,#N/A N/A,66.2,59.31,69.1,76.46,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0188,#N/A N/A,62.7263,62.0021,62.5224,53.245
2月8日2000年,1127.69,#N/A N/A,46.72,42.67,47.34,32.94,109.47,#N/A N/A,69.35,61.22,73.35,84.56,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0147,#N/A N/A,59.3168,60.3385,57.3788,38.9011
2月9日2000年,1123.5,#N/A N/A,42.72,41.17,39.53,11.82,108.79,#N/A N/A,64.19,58.93,65.27,59.85,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0058,#N/A N/A,52.6294,56.9096,47.7796,20.7232
2月10日2000年,1123.93,#N/A N/A,43.25,41.39,40.66,19.74,109.27,#N/A N/A,66.11,60.02,68.06,69.34,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0148,#N/A N/A,57.8095,59.3275,56.1292,53.6068
2月11日2000年,1121.43,#N/A N/A,40.86,40.49,36.23,11.07,108.82,#N/A N/A,62.72,58.51,62.74,52.04,8.2788,#N/A N/A,50.8228,50.8881,54.9343,80.8952,1.0127,#N/A N/A,56.2635,58.5347,53.8682,46.8109
