12月31日2020年,,,,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1月15日2021年,"-286,214","-339,694","101,968","-201,684","109,547","692,659","-233,278","-507,197","-153,967","-14,215","152,521","774,981","95,427","1,138,770",,"-16,812","100,746","-134,554","-134,427","-33,542","-33,620","151,427","33,573","-151,055","151,439","-33,640","-16,803","51,705",,"361,554","403,625","-402,452","-80,089","-14,147","-892,074","421,576","669,762","-33,525","257,801","-112,443","-718,044",,,"3,507",738,"-2,940",-189,-98,"-2,431","4,975","7,691",-63,"6,131","-3,439","-25,333",,,-163,184,-980,-318,-236,-92,"1,818",390,-287,"3,600","-1,036",-621,,,"-16,828","100,969","-134,625","-134,625","-33,656","-33,656","151,453","33,656","-151,453","151,453","-33,656","-16,828","50,484",,,-2%,10%,-13%,-13%,-3%,-3%,15%,3%,-15%,15%,-3%,-2%,5%,," 	5,496 ",-1,6,-8,-8,-2,-2,9,2,-9,9,-2,-1,3,26.0,-33.0,,-1.0,6.0,-8.0,-8.0,-2.0,-2.0,9.0,2.0,-9.0,9.0,-2.0,-1.0,3.0
1月18日2021年,"378,366","302,900","-267,356","55,689","19,099","-845,839","261,509","617,938","117,686","105,812","-82,024","-688,714","-24,935","1,113,835",,0,"18,068","180,687","-54,187","-108,447","-108,135",0,"126,446","53,907","-162,661","-180,749","-126,529","18,955",,"-361,554","-385,577","582,597","24,551","-94,004","771,324","-412,936","-525,065","87,277","-419,912","-65,086","578,989",,,"-3,507",-705,"4,256",59,-668,"2,132","-4,975","-6,196",165,"-10,095","-1,998","20,844",,,0,33,"1,316",-130,-766,-299,0,"1,495",102,"-3,964","-5,437","-4,489",,,0,"18,076","180,757","-54,227","-108,454","-108,454",0,"126,530","54,227","-162,681","-180,757","-126,530","18,076",,,0%,2%,16%,-5%,-10%,-10%,0%,11%,5%,-14%,-16%,-11%,2%,," 	5,497 ",0,1,10,-3,-6,-6,0,7,3,-9,-10,-7,1,21.0,-41.0,,0.0,1.0,10.0,-3.0,-6.0,-6.0,0.0,7.0,3.0,-9.0,-10.0,-7.0,1.0
1月19日2021年,"-379,457","-421,335","416,972","79,036","9,651","880,998","-423,301","-668,654","34,303","-251,629","116,422","700,881","93,887","1,207,722",,"-152,799","21,461","109,129","-43,323","-174,644","-43,426","-130,981","-196,523","-108,841","-21,800","65,514","21,834","23,560",,"226,659","424,727","-488,530","-68,173","-75,848","-816,290","292,319","345,685","-197,051","392,489","129,841","-552,519",,,"2,108",742,"-3,480",-161,-525,"-2,252","3,439","3,962",-369,"9,566","3,994","-20,031",,,"-1,399",37,776,-102,"-1,193",-120,"-1,536","-2,234",-204,-529,"1,996",813,,,"-152,879","21,840","109,199","-43,680","-174,719","-43,680","-131,039","-196,559","-109,199","-21,840","65,520","21,840","21,840",,,-14%,2%,10%,-4%,-16%,-4%,-12%,-18%,-10%,-2%,6%,2%,2%,," 	5,498 ",-7,1,5,-2,-8,-2,-6,-9,-5,-1,3,1,1,10.0,-40.0,,-7.0,1.0,5.0,-2.0,-8.0,-2.0,-6.0,-9.0,-5.0,-1.0,3.0,1.0,1.0
1月20日2021年,"379,105","400,209","-592,800","-25,857","97,269","-777,680","425,982","550,789","-93,627","444,920","70,452","-549,906","328,856","1,536,578",,"-140,408","-112,037","-70,137","-98,057","84,169","-83,998","140,409","-84,239","-70,213","56,161","-140,420","98,303","29,171",,"-366,713","-533,707","413,534","-28,877","161,544","737,108","-154,592","-438,505","132,255","-366,959","-276,386","626,375",,,"-3,410",-941,"2,974",-67,"1,101","2,021","-1,800","-4,908",241,"-8,319","-7,986","23,629",,,"-1,302",-199,-506,-228,576,-231,"1,639",-946,-128,"1,247","-3,992","3,598",,,"-140,433","-112,346","-70,216","-98,303","84,260","-84,260","140,433","-84,260","-70,216","56,173","-140,433","98,303","28,087",,,-12%,-9%,-6%,-8%,7%,-7%,12%,-7%,-6%,5%,-12%,8%,2%,," 	5,499 ",-10,-8,-5,-7,6,-6,10,-6,-5,4,-10,7,2,27.0,-57.0,,-10.0,-8.0,-5.0,-7.0,6.0,-6.0,10.0,-6.0,-5.0,4.0,-10.0,7.0,2.0
1月21日2021年,"-226,977","-416,881","486,978","69,424","73,388","802,901","-292,518","-349,393","207,123","-428,094","-140,332","537,686","323,305","1,859,883",,"-126,541","-126,379","162,678","-162,317","126,493","-35,960","-180,711","-144,598","-180,364","-108,423","-108,463","54,206","19,445",,"240,844","402,539","-254,163","-133,683","-31,064","-754,863","-28,602","289,034","-317,273","263,509","172,289","-581,782",,,"2,238",717,"-1,814",-313,-217,"-2,122",-340,"3,267",-556,"5,911","4,896","-21,616",,,"-1,172",-224,"1,160",-380,884,-101,"-2,140","-1,641",-315,"-2,408","-3,090","2,013",,,"-126,542","-126,542","162,697","-162,697","126,542","-36,155","-180,774","-144,619","-180,774","-108,464","-108,464","54,232","18,077",,,-8%,-8%,11%,-11%,8%,-2%,-12%,-9%,-12%,-7%,-7%,4%,1%,," 	5,500 ",-7,-7,9,-9,7,-2,-10,-8,-10,-6,-6,3,1,19.0,-65.0,,-7.0,-7.0,9.0,-9.0,7.0,-2.0,-10.0,-8.0,-10.0,-6.0,-6.0,3.0,1.0
1月22日2021年,"366,010","531,766","-414,352","29,362","-157,204","-719,520","154,614","433,153","-133,112","385,334","287,966","-614,755","149,261","2,009,144",,"73,368","48,491","195,751","195,372","97,791","195,558","-220,195","73,378","-195,528","48,919","146,813","-244,710","124,009",,"-166,102","-356,896","447,424","328,327","128,501","951,038","-194,098","-215,176","117,948","-227,992","-32,690","315,838",,,"-1,548",-631,"3,233",779,886,"2,672","-2,374","-2,432",209,"-4,823",-902,"12,203",,,690,86,"1,419",466,669,550,"-2,714",835,-347,"1,088","3,994","-9,413",,,"73,416","48,944","195,777","195,777","97,889","195,777","-220,249","73,416","-195,777","48,944","146,833","-244,721","122,361",,,4%,3%,11%,11%,5%,11%,-12%,4%,-11%,3%,8%,-13%,7%,," 	5,501 ",3,2,8,8,4,8,-9,3,-8,2,6,-10,5,44.0,-27.0,,3.0,2.0,8.0,8.0,4.0,8.0,-9.0,3.0,-8.0,2.0,6.0,-10.0,5.0
1月25日2021年,"-242,022","-406,344","256,025","133,835","30,911","762,083","29,334","-288,170","313,125","-277,466","-179,901","561,690","693,101","2,702,246",,"154,503","-231,646","-154,541","128,414","205,977","205,810","257,572","-154,498","50,975","257,573","154,537","25,750","27,348",,"323,158","126,207","-606,318","-200,793","77,275","-751,831","448,433","60,294","-66,622","486,120","187,625","-291,230",,,"2,977",223,"-4,336",-476,533,"-2,098","5,544",684,-118,"10,193","5,036","-11,214",,,"1,429",-408,"-1,103",303,"1,419",574,"3,170","-1,748",91,"5,370","4,134",989,,,"154,550","-231,824","-154,550","128,791","206,066","206,066","257,583","-154,550","51,517","257,583","154,550","25,758","25,758",,,8%,-12%,-8%,6%,10%,10%,13%,-8%,3%,13%,8%,1%,1%,," 	5,502 ",6,-9,-6,5,8,8,10,-6,2,10,6,1,1,56.0,-21.0,,6.0,-9.0,-6.0,5.0,8.0,8.0,10.0,-6.0,2.0,10.0,6.0,1.0,1.0
1月26日2021年,"161,597","358,643","-447,260","-332,124","-123,640","-966,833","193,500","214,861","-117,136","235,727","32,185","-322,007","-1,112,488","1,589,758",,"88,540","-398,468","-132,852","-265,723","-221,494","-176,950","177,143","-44,262",0,"354,392","-354,371","88,589","399,461",,"-227,561","-525,465","468,949","-62,012","-303,832","584,073","-273,928","-104,625","66,161","-138,907","-541,093","384,846",,,"-2,138",-944,"3,374",-144,"-2,058","1,611","-3,364","-1,188",118,"-2,891","-14,900","14,540",,,839,-721,-962,-620,"-1,525",-487,"2,180",-504,0,"7,302","-9,864","3,326",,,"88,598","-398,692","-132,897","-265,795","-221,496","-177,196","177,196","-44,299",0,"354,393","-354,393","88,598","398,692",,,3%,-15%,-5%,-10%,-8%,-7%,7%,-2%,0%,13%,-13%,3%,15%,," 	5,503 ",2,-9,-3,-6,-5,-4,4,-1,0,8,-8,2,9,16.0,-36.0,,2.0,-9.0,-3.0,-6.0,-5.0,-4.0,4.0,-1.0,0.0,8.0,-8.0,2.0,9.0
1月27日2021年,"-304,062","-101,183","573,759","205,110","-69,812","737,812","-444,668","-56,648","62,977","-493,737","-171,160","288,032","226,419","1,816,177",,"63,584","222,497","254,235","31,625","190,638","-126,910","-31,736","-63,526","63,514","222,521","158,972","-127,178","32,821",,"279,107","722,148","-186,672","92,238","481,944","-687,772","235,789","37,384",537,"361,866","684,503","-503,799",,,"2,783","1,376","-1,420",219,"3,410","-1,977","2,964",439,1,"7,617","19,396","-19,522",,,645,432,"1,954",75,"1,352",-366,-400,-749,119,"4,726","4,496","-4,982",,,"63,590","222,566","254,361","31,795","190,771","-127,181","-31,795","-63,590","63,590","222,566","158,976","-127,181","31,795",,,4%,14%,16%,2%,12%,-8%,-2%,-4%,4%,14%,10%,-8%,2%,," 	5,504 ",2,7,8,1,6,-4,-1,-2,2,7,5,-4,1,38.0,-11.0,,2.0,7.0,8.0,1.0,6.0,-4.0,-1.0,-2.0,2.0,7.0,5.0,-4.0,1.0
1月28日2021年,"219,871","486,031","-428,507","58,244","280,354","-541,305","264,600","98,192","-65,726","124,472","498,484","-368,214","626,496","2,442,673",,"-153,445","-229,830","230,165","-102,024","-25,471","204,436","127,831","255,754","-153,476","-127,897","76,737","102,310","26,801",,"-436,900","-938,357","404,437","-191,893","-496,464","872,651","-105,034","221,088","-151,264","-474,890","-580,719","597,702",,,"-4,300","-1,829","3,339",-473,"-3,594","2,585","-1,337","2,716",-283,"-10,481","-17,120","23,698",,,"-1,517",-453,"1,919",-254,-184,608,"1,627","3,155",-282,"-2,864","2,276","4,176",,,"-153,480","-230,220","230,220","-102,320","-25,580","204,640","127,900","255,800","-153,480","-127,900","76,740","102,320","25,580",,,-8%,-13%,13%,-6%,-1%,11%,7%,14%,-8%,-7%,4%,6%,1%,," 	5,505 ",-6,-9,9,-4,-1,8,5,10,-6,-5,3,4,1,39.0,-31.0,,-6.0,-9.0,9.0,-4.0,-1.0,8.0,5.0,10.0,-6.0,-5.0,3.0,4.0,1.0
